created:2024-05-31 02:19:58 UTC
ephemeris_start:2024-05-31 01:46:42 UTC ephemeris_stop:2024-06-03 01:46:42 UTC step_size:60
ephemeris_source:blend
UVW
2024152014642.000 -5796.3538471065 -2574.7571813538 -2021.9611266900 1.0419980174 -6.0458470615 4.7190940315
8.0390231220e-07 -3.8836910114e-07 7.4795715381e-07 -5.7943477398e-12 2.5273093672e-10 1.0971699539e-06 1.3769332260e-09
-9.3652308854e-10 -5.7884220921e-13 2.8928449103e-12 -4.5686121015e-10 4.0433863434e-10 1.1542998521e-12 -8.1210235163e-13
5.4033988529e-13 8.2029288890e-13 4.7336277169e-13 1.4650482563e-09 2.1919186972e-15 2.5623521989e-15 5.5376366887e-12
2024152014742.000 -5719.7802106451 -2930.9486871408 -1734.1108902299 1.5094406515 -5.8223722374 4.8720126292
9.2138793357e-07 -4.8415213527e-07 8.6159176740e-07 6.5205285825e-11 3.7323235252e-10 1.2870019122e-06 1.5966985654e-09
-1.1334057201e-09 -5.3318954237e-13 3.3253249748e-12 -5.3710406638e-10 4.8056936010e-10 1.2757021709e-12 -9.6741822416e-13
6.0742988673e-13 1.3375326918e-12 6.0325763281e-13 1.6939528911e-09 2.8901709189e-15 2.9503852184e-15 5.3095624322e-12
2024152014842.000 -5615.3658634429 -3272.8736392924 -1437.7948783990 1.9696410438 -5.5704911678 5.0011716188
1.0522328408e-06 -5.9786771612e-07 9.9989649975e-07 1.8587001840e-10 5.0316700235e-10 1.5024671518e-06 1.8432052035e-09
-1.3676054554e-09 -4.0638326901e-13 3.8106490647e-12 -6.2780059963e-10 5.7329843914e-10 1.4664905513e-12 -1.1415563791e-12
7.3134998677e-13 1.9954843778e-12 7.4740025383e-13 1.8915848774e-09 3.9617396074e-15 5.2189718562e-15 5.0467844451e-12
2024152014942.000 -5483.6131748893 -3598.8639871998 -1134.4583114628 2.4203479674 -5.2914325599 5.1059335253
1.1971198165e-06 -7.3158095022e-07 1.1679550459e-06 3.7276445485e-10 6.5564604238e-10 1.7395763511e-06 2.1185559311e-09
-1.6437170666e-09 -1.3587041049e-13 4.3555957850e-12 -7.2855218574e-10 6.9070906354e-10 1.9813650148e-12 -1.3284991462e-12
9.5976664669e-13 2.8537920531e-12 1.1457951186e-12 2.0540972780e-09 5.7834652248e-15 1.1462530946e-14 4.7547933102e-12
2024152015042.000 -5325.1581927460 -3907.3289666415 -825.5813954396 2.8593529649 -4.9865497010 5.1857730803
1.3567231058e-06 -8.8718625770e-07 1.3723509018e-06 6.5498203363e-10 8.8244313518e-10 1.9939184434e-06 2.4252047088e-09
-1.9655837342e-09 4.0119622298e-13 4.9688491959e-12 -8.3730982735e-10 8.4498512631e-10 3.2614902626e-12 -1.5171543407e-12
1.3381308519e-12 4.0429439068e-12 2.2230209383e-12 2.1783352905e-09 8.9717407707e-15 2.3806893402e-14 4.4396665900e-12
2024152015142.000 -5140.7679080752 -4196.7631192912 -512.6719874242 3.2845051182 -4.6573283221 5.2402939966
1.5318131433e-06 -1.0661063891e-06 1.6215791252e-06 1.0877318583e-09 1.2954562835e-09 2.2607487581e-06 2.7663123638e-09
-2.3357259795e-09 1.4176005738e-12 5.6618811467e-12 -9.4966590174e-10 1.0517230044e-09 5.9273305558e-12 -1.6914218038e-12
1.9073393335e-12 5.7994906852e-12 4.5758084115e-12 2.2619002922e-09 1.4391822624e-14 4.4277711161e-14 4.1079440895e-12
2024152015242.000 -4931.3363188781 -4465.7535759967 -197.2580932586 3.6937224376 -4.3053706698 5.2692202715
1.7234631393e-06 -1.2689059695e-06 1.9263118924e-06 1.7703145018e-09 2.0838635322e-09 2.5350826192e-06 3.1462713081e-09
-2.7547959856e-09 3.2467959172e-12 6.4499422169e-12 -1.0582605668e-09 1.3290320604e-09 1.0755820179e-11 -1.8304429041e-12
2.7014278934e-12 8.4981146020e-12 8.9415129134e-12 2.3031973529e-09 2.3156518836e-14 7.4662645985e-14 3.7664946211e-12
2024152015342.000 -4697.8800831057 -4712.9871281505 119.1194577510 4.0849991335 -3.9323930461 5.2724012799
1.9333874784e-06 -1.4948499979e-06 2.2994815394e-06 2.8693320929e-09 3.5262922740e-09 2.8117938385e-06 3.5714094953e-09
-3.2211015911e-09 6.3755259042e-12 7.3532063294e-12 -1.1523686912e-09 1.6963533117e-09 1.8644379269e-11 -1.9090618875e-12
3.7453999364e-12 1.2677717008e-11 1.6150527677e-11 2.3014664464e-09 3.6613691650e-14 1.1637746606e-13 3.4223752750e-12
2024152015442.000 -4441.5337431054 -4937.2567074016 434.9146110677 4.4564132637 -3.5402171098 5.2498141400
2.1644391774e-06 -1.7414494862e-06 2.7561442184e-06 4.6461851292e-09 5.9955025583e-09 3.0857159369e-06 4.0508871973e-09
-3.7302378329e-09 1.1477251103e-11 8.3980964360e-12 -1.2177214219e-09 2.1730472513e-09 3.0561277979e-11 -1.8985265636e-12
5.0533439475e-12 1.9058196442e-11 2.7063462435e-11 2.2567965365e-09 5.6321098857e-14 1.7034201095e-13 3.0826866742e-12
2024152015542.000 -4163.5442915330 -5137.4675533918 748.5838689823 4.8061412376 -3.1307626480 5.2015669792
2.4212885845e-06 -2.0040456757e-06 3.3131023759e-06 7.4868059430e-09 9.9532651489e-09 3.3517440207e-06 4.5977990502e-09
-4.2748708567e-09 1.9443582021e-11 9.6188212477e-12 -1.2366107378e-09 2.7768244322e-09 4.7483357468e-11 -1.7674491146e-12
6.6269825782e-12 2.8544399644e-11 4.2495807088e-11 2.1701222808e-09 8.4006775516e-14 2.3687525670e-13 2.7544277185e-12
2024152015642.000 -3865.2648432035 -5312.6426454870 1058.5941029544 5.1324705553 -2.7060315080 5.1278963454
2.7112991572e-06 -2.2754919707e-06 3.9882820986e-06 1.1932508525e-08 1.5934331414e-08 3.6049352265e-06 5.2304922611e-09
-4.8447242945e-09 3.1413613659e-11 1.1059153729e-11 -1.1883148789e-09 3.5221125447e-09 7.0324487594e-11 -1.4830402764e-12
8.4547842677e-12 4.2215505698e-11 6.3135458463e-11 2.0432034815e-09 1.2151591222e-13 3.1561970883e-13 2.4443531817e-12
2024152015742.000 -3548.1478989445 -5461.9272158863 1363.4300229986 5.4338002535 -2.2680971876 5.0291595429
3.0456090024e-06 -2.5459982425e-06 4.7998820365e-06 1.8709733006e-08 2.4518704366e-08 3.8406056929e-06 5.9741102832e-09
-5.4268223688e-09 4.8799129609e-11 1.2774484322e-11 -1.0498680117e-09 4.4184710437e-09 9.9858513968e-11 -1.0126178786e-12
1.0511758017e-11 6.1298317402e-11 8.9459059530e-11 1.8785878073e-09 1.7074487212e-13 4.0550349818e-13 2.1588375296e-12
2024152015842.000 -3213.7385040145 -5584.5931256299 1661.6015056804 5.7086501136 -1.8191054409 4.9058396694
3.4404182530e-06 -2.8032047531e-06 5.7653342878e-06 2.8756585568e-08 3.6292468656e-08 4.0544221061e-06 6.8623685846e-09
-6.0060466287e-09 7.3304407760e-11 1.4834185347e-11 -7.9718137458e-10 5.4691750619e-09 1.3664159163e-10 -3.2537950701e-13
